"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-07-01,2025-07-31,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,294.31,758.7,2.577894,15,19.620667,50.58,2.899035,101520,24334,4.17194,953,0.308825,0.938731,2.371168,70,4.204429,20053.6,2.617801,1.396648,573,0.51363,1178,0.249839,2,7,1
2025-07-01,2025-07-31,"10 produktov Sanaplant - novy",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,10.05,,,,,,3.216,3125,1507,2.073656,27,0.372222,0.864,1.32714,,,,0,0,10,1.005,168,0.059821,,1,
2025-07-01,2025-07-31,"10 produktov Sanaplant - novy",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,13.23,161.49,12.206349,2,6.615,80.745,4.032307,3281,1514,2.167107,27,0.49,0.82292,1.519155,13,1.017692,518.49,12.5,7.407407,16,0.826875,204,0.064853,,,
2025-07-01,2025-07-31,"Pestujte ako profesionál",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,18.22,,,,,,3.171453,5745,1852,3.102052,60,0.303667,1.044386,1.99784,3,6.073333,67.38,0,0,37,0.492432,67,0.27194,,,
2025-07-01,2025-07-31,​sanaplant_vybrane_produkty,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,14.09,,,,,,4.382582,3215,560,5.741071,96,0.146771,2.986003,8.392857,6,2.348333,16.07,0,0,83,0.169759,118,0.119407,,,
2025-07-01,2025-07-31,​sanaplant_vybrane_produkty_cards,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,31.92,68.54,2.147243,2,15.96,34.27,2.150219,14845,6303,2.355228,142,0.224789,0.956551,1.332699,9,3.546667,139.05,1.818182,0.966184,110,0.290182,213,0.149859,,,
2025-07-01,2025-07-31,​sanaplant_vybrane_produkty,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,122.05,67.24,0.550922,2,61.025,33.62,2.406871,50709,17519,2.894515,902,0.13531,1.778777,2.71705,27,4.52037,1701.19,0.337838,0.192864,592,0.206166,1071,0.113959,,4,1
2025-07-01,2025-07-31,"Chcete mať dokonalý trávnik za pár dní? Grasstex - netkaná geotextília s trávnym osivom",sanaplant_boosting_traffic,inactive,2025-07-03,2025-07-18,20,Celkový,20,,,,,,1.035304,19318,9912,1.948951,468,0.042735,2.422611,3.884181,4,5,359.02,0,0,226,0.088496,474,0.042194,1,3,
2025-07-01,2025-07-31,"Dvojitá ochrana, ktorú porast skutočne potrebuje",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,10.38,,,,,,2.773918,3742,1775,2.108169,16,0.64875,0.427579,0.901408,2,5.19,959.37,0,0,7,1.482857,22,0.471818,,,1
2025-07-01,2025-07-31,"Laudis – spoľahlivý pomocník v boji s burinou",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,11.71,,,,,,2.183887,5362,2599,2.063101,36,0.325278,0.671391,1.308195,,,,0,0,17,0.688824,43,0.272326,,,
2025-07-01,2025-07-31,"Jedna aplikácia. Rok výživy.",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,6.21,,,,,,5.925573,1048,597,1.755444,18,0.345,1.717557,2.512563,,,,0,0,13,0.477692,22,0.282273,,,
2025-07-01,2025-07-31,"Laudis – spoľahlivý pomocník v boji s burinou",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,13.8,,,,,,2.966466,4652,1753,2.653736,30,0.46,0.644884,1.597262,,,,0,0,21,0.657143,36,0.383333,,,1
2025-07-01,2025-07-31,"Dvojitá ochrana, ktorú porast skutočne potrebuje",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,9.79,,,,,,2.564842,3817,1358,2.810751,22,0.445,0.576369,1.546392,2,4.895,195.57,0,0,12,0.815833,26,0.376538,,,
2025-07-01,2025-07-31,"Jedna aplikácia. Rok výživy.",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,40.62,17.39,0.428114,2,20.31,8.695,4.745882,8559,1333,6.420855,53,0.766415,0.619231,3.450863,6,6.77,48.43,6.060606,3.448276,33,1.230909,66,0.615455,,2,
