"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-04-01,2025-04-30,Gunner,sanaplant_products_conv,inactive,2025-04-14,Prebieha,4.75,Denne,37.79,,,,,,4.35469,8678,3843,2.258132,279,0.135448,3.215027,4.86599,6,6.298333,612.11,0,0,178,0.212303,298,0.126812,,1,3
2025-04-01,2025-04-30,"HydroHumat - apríl a máj v záhrade?",sanaplant_products_conv,inactive,2025-04-14,Prebieha,4.75,Denne,38.05,28.26,0.742707,1,38.05,28.26,4.301379,8846,4745,1.864278,145,0.262414,1.639159,2.402529,4,9.5125,41.36,1.204819,0.680272,83,0.458434,163,0.233436,,1,3
2025-04-01,2025-04-30,SilvaTabs,sanaplant_products_conv,inactive,2025-04-14,Prebieha,4,Denne,37.36,255.46,6.837794,3,12.453333,85.153333,5.628201,6638,3661,1.813166,132,0.28303,1.988551,2.922699,40,0.934,338.66,3.448276,2.173913,87,0.429425,1986,0.018812,,1,5
2025-04-01,2025-04-30,"10 produktov Sanaplant",sanaplant_products_conv,inactive,2025-04-14,Prebieha,4.75,Denne,37.4,,,,,,4.639047,8062,3876,2.079979,308,0.121429,3.820392,5.314757,8,4.675,255.6,0,0,214,0.174766,323,0.115789,,2,3
2025-04-01,2025-04-30,"HydroHumat - apríl a máj v záhrade?",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4.75,Denne,40.54,17.91,0.441786,2,20.27,8.955,3.788785,10700,5481,1.952199,213,0.190329,1.990654,2.463054,11,3.685455,82.72,1.481481,0.921659,135,0.300296,235,0.172511,,5,3
2025-04-01,2025-04-30,SilvaTabs,sanaplant_products_conv,inactive,2025-04-22,Prebieha,5,Denne,41.02,,,,,,6.461878,6348,3606,1.760399,98,0.418571,1.543793,1.968941,1,41.02,4.91,0,0,51,0.804314,1474,0.027829,,,1
2025-04-01,2025-04-30,"10 produktov Sanaplant",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,43.35,,,,,,4.797477,9036,4878,1.852399,263,0.164829,2.91058,3.874539,2,21.675,26.97,0,0,162,0.267593,277,0.156498,1,1,2
2025-04-01,2025-04-30,Gunner,sanaplant_products_conv,inactive,2025-04-22,Prebieha,4.75,Denne,41.24,136.74,3.315713,1,41.24,136.74,4.606792,8952,4768,1.877517,136,0.303235,1.519214,2.39094,1,41.24,134.69,1.123596,0.70922,89,0.463371,159,0.259371,1,3,3
2025-04-01,2025-04-30,"Pestujte ako profesionál",sanaplant_brand,inactive,2025-04-22,Prebieha,3.5,Denne,8.14,23.97,2.944717,2,4.07,11.985,0.430984,18887,9624,1.96249,7,1.162857,0.037063,0.072735,2,4.07,36.88,0,28.571429,,,10,0.814,,,
2025-04-01,2025-04-30,"Všetko, čo potrebuje šikovný pestovateľ",sikovny_gazda_sales,inactive,2025-04-22,Prebieha,4.75,Denne,40.7,,,,,,5.28297,7704,3697,2.083852,84,0.484524,1.090343,1.893427,2,20.35,15.78,0,0,51,0.798039,101,0.40297,,,2
2025-04-01,2025-04-30,"Profesionálne riešenia pre malých pestovateľov",sikovny_gazda_sales,inactive,2025-04-22,Prebieha,4.75,Denne,0.23,,,,,,1.932773,119,92,1.293478,,,,,,,,0,0,,,1,0.23,,,
2025-04-01,2025-04-30,"Manychat - kalendar zadarmo",sanaplant_boosting,inactive,2025-04-25,2025-07-15,5,Denne,27.11,,,,,,1.974508,13730,9494,1.446177,3,9.036667,0.02185,0.031599,2,13.555,9.63,0,0,3,9.036667,229,0.118384,95,,7
2025-04-01,2025-04-30,"blog hrdze",sanaplant_boosting,inactive,2025-04-29,2025-05-06,20,Celkový,4.27,,,,,,1.831832,2331,1973,1.18145,17,0.251176,0.729301,0.810948,,,,0,0,,,46,0.092826,,,3
