"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-11-01,2025-11-30,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,32.62,,,,,,2.701673,12074,6041,1.998676,135,0.24163,1.118105,1.373945,2,16.31,71.69,0,0,93,0.350753,146,0.223425,,,1
2025-11-01,2025-11-30,"All Products",sanaplant_product_catalog,not_delivering,2025-09-18,Prebieha,"Using campaign budget",0,62.47,,,,,,2.435857,25646,9946,2.578524,570,0.109596,2.222569,3.519003,16,3.904375,225.99,0,0,343,0.182128,594,0.105168,,1,1
2025-11-01,2025-11-30,"Najpraktickejšia kniha do každej záhrady","sanaplant_book_conv _2025",inactive,2025-10-13,Prebieha,"Using campaign budget",0,16.23,,,1,16.23,,5.090966,3188,2121,1.503065,32,0.507188,1.003764,1.414427,3,5.41,65.5,6.25,3.030303,16,1.014375,732,0.022172,,1,1
2025-11-01,2025-11-30,encyklopedia_video,"sanaplant_book_conv _2025",inactive,2025-10-19,Prebieha,"Using campaign budget",0,660.79,2696.16,4.080207,61,10.832623,44.199344,3.258687,202778,87167,2.326316,1825,0.362077,0.899999,1.743779,150,4.405267,7142.86,6.081755,2.828002,1003,0.658814,45570,0.014501,16,33,48
2025-11-01,2025-11-30,"Virkon S",sanaplant_boosting_traffic,inactive,2025-10-28,2025-11-09,15,Celkový,10.47,,,,,,1.73287,6042,3528,1.712585,117,0.089487,1.936445,2.947846,,,,0,0,92,0.113804,132,0.079318,,2,2
2025-11-01,2025-11-30,"Najpraktickejšia kniha do každej záhrady","sanaplant_book_conv _2025",inactive,2025-10-31,Prebieha,"Using campaign budget",0,28.7,65.5,2.28223,1,28.7,65.5,5.314815,5400,2196,2.459016,91,0.315385,1.685185,2.91439,9,3.188889,2780.75,4.347826,1.098901,23,1.247826,1188,0.024158,,,3
2025-11-01,2025-11-30,"Objednajte ešte dnes","sanaplant_book_conv _2025",inactive,2025-10-31,Prebieha,"Using campaign budget",0,25.46,,,4,6.365,,5.19168,4904,2018,2.430129,100,0.2546,2.039152,3.766105,11,2.314545,143.3,8.333333,4,48,0.530417,106,0.240189,,1,1
2025-11-01,2025-11-30,"Objednajte ešte dnes","sanaplant_book_conv _2025",inactive,2025-10-13,Prebieha,"Using campaign budget",0,23.5,,,2,11.75,,4.570206,5142,2689,1.912235,57,0.412281,1.108518,1.78505,4,5.875,383.21,6.25,3.508772,32,0.734375,68,0.345588,1,,
2025-11-01,2025-11-30,MACHOŽRÚT,sanaplant_boosting_traffic,inactive,2025-11-07,2025-11-17,15,Celkový,14.91,,,,,,1.420135,10499,6767,1.5515,247,0.060364,2.352605,3.251071,1,14.91,7.5,0,0,171,0.087193,301,0.049535,1,19,11
2025-11-01,2025-11-30,"BF2025 - doprava zadarmo","sanaplant_book_conv _2025",inactive,2025-11-15,Prebieha,"Using campaign budget",0,1.22,,,,,,2.520661,484,385,1.257143,3,0.406667,0.619835,0.519481,,,,0,0,1,1.22,5,0.244,,,
2025-11-01,2025-11-30,"BF2025 - 1000+ zakaznikov","sanaplant_book_conv _2025",inactive,2025-11-15,Prebieha,"Using campaign budget",0,0.78,,,,,,3.263598,239,230,1.03913,4,0.195,1.67364,1.73913,1,0.78,55.7,0,0,2,0.39,5,0.156,,,
2025-11-01,2025-11-30,"BLACK FRIDAY - cena",BF25_sales,inactive,2025-11-15,Prebieha,10,Denne,154.08,492.67,3.197495,8,19.26,61.58375,3.586008,42967,9255,4.642572,743,0.207376,1.729234,4.505673,22,7.003636,792.52,5.970149,1.076716,134,1.149851,5078,0.030343,1,4,3
2025-11-01,2025-11-30,"BLACK FRIDAY - zlava",BF25_sales,inactive,2025-11-15,Prebieha,10,Denne,11.51,,,,,,3.6832,3125,1985,1.574307,22,0.523182,0.704,0.906801,1,11.51,55.7,0,0,14,0.822143,163,0.070614,,1,
2025-11-01,2025-11-30,"Zľavy BLACK FRIDAY",BF25_sales,inactive,2025-11-15,Prebieha,13,Denne,31.86,56.7,1.779661,1,31.86,56.7,4.193209,7598,3077,2.469288,127,0.250866,1.671493,2.957426,6,5.31,247.4,1.785714,0.787402,56,0.568929,130,0.245077,,,
2025-11-01,2025-11-30,encyklopedia_video_najnizsia_cena,"sanaplant_book_conv _2025",inactive,2025-11-17,Prebieha,"Using campaign budget",0,97.64,167.1,1.711389,3,32.546667,55.7,3.536784,27607,17103,1.614161,260,0.375538,0.94179,1.35064,5,19.528,243.77,3.529412,1.149425,85,1.148706,311,0.313955,1,3,1
2025-11-01,2025-11-30,"Malá muška, veľký problém",sanaplant_boosting,not_delivering,2025-11-24,2025-11-30,15,Celkový,14.97,,,,,,1.011486,14800,11027,1.34216,,,,,,,,0,0,,,575,0.026035,21,41,115
2025-11-01,2025-11-30,"BF2025 - doprava zadarmo",BF25_sales,not_delivering,2025-11-25,Prebieha,20,Denne,65.48,70.9,1.082773,1,65.48,70.9,4.544382,14409,6784,2.123968,117,0.559658,0.811993,1.621462,5,13.096,292.7,2.325581,0.854701,43,1.522791,135,0.485037,1,,
2025-11-01,2025-11-30,"BF2025 - 1000+ zakaznikov",BF25_sales,not_delivering,2025-11-25,Prebieha,20,Denne,40.52,111.4,2.74926,2,20.26,55.7,5.218959,7764,3696,2.100649,77,0.526234,0.991757,1.704545,4,10.13,222.8,11.111111,2.597403,18,2.251111,84,0.482381,,1,
2025-11-01,2025-11-30,encyklopedia_video,"sanaplant_book_conv _2025",inactive,2025-11-25,Prebieha,"Using campaign budget",0,66.86,280.51,4.195483,3,22.286667,93.503333,4.095559,16325,10502,1.554466,107,0.62486,0.655436,0.885546,8,8.3575,557,5.357143,2.803738,56,1.193929,2888,0.023151,,2,1
2025-11-01,2025-11-30,"BLACK FRIDAY - cena",BF25_sales,not_delivering,2025-11-25,Prebieha,15,Denne,88.97,,,,,,7.01269,12687,4020,3.15597,243,0.366132,1.915346,4.477612,8,11.12125,201.15,0,0,57,1.560877,2366,0.037604,,,2
