"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-08-01,2025-08-31,​sanaplant_vybrane_produkty,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,37.24,260.3,6.989796,2,18.62,130.15,3.420593,10887,4125,2.639273,250,0.14896,2.296317,4,12,3.103333,1182.32,1.290323,0.749064,155,0.240258,279,0.133477,,1,
2025-08-01,2025-08-31,"Sanaplant poradňa - Hortenzie",sanaplant_boosting,inactive,2025-07-29,2025-08-12,25,Celkový,20.22,85.65,4.235905,2,10.11,42.825,0.590606,34236,18491,1.851495,348,0.058103,1.016474,1.422314,9,2.246667,343.14,5.882353,0.574713,34,0.594706,784,0.025791,7,10,6
2025-08-01,2025-08-31,"Planstar BCX – nové mikrogranulované štartovacie hnojivo",sanaplant_boosting_traffic,inactive,2025-08-05,2025-08-28,30,Celkový,29.97,,,,,,1.510356,19843,7571,2.620922,550,0.054491,2.771758,3.764364,10,2.997,1450.96,0,0,266,0.112669,569,0.052671,,3,
2025-08-01,2025-08-31,"Pleseň sivá na viniči",sanaplant_boosting,inactive,2025-08-12,2025-08-31,30,Celkový,29.95,,,,,,1.043845,28692,15511,1.849784,,,,,,,,0,0,4,7.4875,684,0.043787,3,32,31
2025-08-01,2025-08-31,"All Products – Sales",sanaplant_product_catalog_2,inactive,2025-08-14,Prebieha,"Using campaign budget",0,11.45,,,,,,6.952034,1647,175,9.411429,30,0.381667,1.821494,7.428571,4,2.8625,732.44,0,0,20,0.5725,33,0.34697,,,
2025-08-01,2025-08-31,ROOTFiX,sanaplant_boosting_traffic,inactive,2025-08-19,2025-08-31,30,Celkový,29.97,,,,,,1.931057,15520,10068,1.541518,337,0.088932,2.171392,2.781089,2,14.985,452,0,0,22,1.362273,379,0.079077,,,1
2025-08-01,2025-08-31,"All Products",sanaplant_product_catalog,inactive,2025-08-21,Prebieha,"Using campaign budget",0,53.14,115.62,2.175762,2,26.57,57.81,2.726946,19487,4825,4.038756,280,0.189786,1.436855,3.896373,8,6.6425,412.03,1.086957,0.638978,184,0.288804,355,0.14969,,2,1
2025-08-01,2025-08-31,"Aký bol váš najväčší pestovateľský objav v tejto sezóne?",sanaplant_boosting,not_delivering,2025-08-26,2025-09-09,30,Celkový,12.02,,,,,,2.67706,4490,3385,1.32644,,,,,,,,0,0,,,128,0.093906,1,,1
