"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-10-01,2025-10-31,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,62.9,1340.69,21.314626,22,2.859091,60.940455,2.427353,25913,7334,3.53327,331,0.19003,1.277351,2.617944,163,0.38589,16684.06,11.956522,6.626506,184,0.341848,362,0.173757,,2,
2025-10-01,2025-10-31,"All Products",sanaplant_product_catalog,inactive,2025-08-21,Prebieha,"Using campaign budget",0,9.74,14.28,1.466119,2,4.87,7.14,2.874852,3388,1295,2.616216,62,0.157097,1.829988,3.243243,4,2.435,20.25,5.405405,3.225806,37,0.263243,64,0.152188,,,
2025-10-01,2025-10-31,"All Products",sanaplant_product_catalog,not_delivering,2025-09-18,Prebieha,"Using campaign budget",0,81,439.08,5.420741,12,6.75,36.59,1.877303,43147,12696,3.398472,628,0.128981,1.455489,2.78828,34,2.382353,1220.3,3.438395,1.886792,349,0.232092,657,0.123288,,1,2
2025-10-01,2025-10-31,"Všetko, čo potrebuje šikovný pestovateľ",sanaplant_boosting_traffic,inactive,2025-10-03,2025-10-31,30,Celkový,29.96,,,,,,1.16876,25634,11646,2.201099,965,0.031047,3.764531,4.662545,3,9.986667,1271.73,0,0,456,0.065702,987,0.030355,,1,1
2025-10-01,2025-10-31,"Kompletný sprievodca pre všetkých záhradkárov",sanaplant_boosting,inactive,2025-10-10,Prebieha,4,Denne,20.58,,,,,,1.622261,12686,8508,1.491067,51,0.403529,0.402018,0.575929,,,,0,0,23,0.894783,276,0.074565,,3,8
2025-10-01,2025-10-31,encyklopedia_video,sanaplant_boosting,inactive,2025-10-10,Prebieha,1,Denne,25.29,,,,,,1.047162,24151,16316,1.480203,114,0.221842,0.47203,0.655798,14,1.806429,29.06,0,0,49,0.516122,11519,0.002196,,1,11
2025-10-01,2025-10-31,"Vaša záhrada si zaslúži byť zdravá","sanaplant_book_conv _2025",inactive,2025-10-13,Prebieha,"Using campaign budget",0,31.97,,,,,,2.177348,14683,9178,1.599804,79,0.404684,0.538037,0.838963,2,15.985,67.87,0,0,27,1.184074,126,0.25373,,,1
2025-10-01,2025-10-31,"Vaša záhrada si zaslúži byť zdravá","sanaplant_book_conv _2025",inactive,2025-10-13,Prebieha,"Using campaign budget",0,5.08,,,,,,2.2852,2223,1650,1.347273,12,0.423333,0.539811,0.727273,1,5.08,65.5,0,0,9,0.564444,21,0.241905,,,
2025-10-01,2025-10-31,"Najpraktickejšia kniha do každej záhrady","sanaplant_book_conv _2025",inactive,2025-10-13,Prebieha,"Using campaign budget",0,62.89,133,2.114804,4,15.7225,33.25,5.040878,12476,6492,1.92175,171,0.367778,1.370632,2.002465,15,4.192667,720.5,4.878049,2.312139,82,0.766951,3212,0.01958,,,
2025-10-01,2025-10-31,"Najpraktickejšia kniha do každej záhrady","sanaplant_book_conv _2025",inactive,2025-10-13,Prebieha,"Using campaign budget",0,0.01,,,,,,0.47619,21,17,1.235294,1,0.01,4.761905,5.882353,,,,0,0,1,0.01,5,0.002,,,
