"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-05-01,2025-05-31,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,575.4,1691.05,2.938912,39,14.753846,43.360256,2.359473,243868,51510,4.734382,2013,0.285842,0.825447,2.154921,133,4.326316,8187.93,2.713987,1.603618,1437,0.400418,2784,0.206681,1,6,13
2025-05-01,2025-05-31,"Pestujte ako profesionál",sanaplant_general_sales,inactive,2025-03-27,Prebieha,5,Denne,14.6,,,,,,3.556638,4105,2126,1.930856,52,0.280769,1.266748,2.022578,8,1.825,136.13,0,0,29,0.503448,57,0.25614,,,
2025-05-01,2025-05-31,sikovny_gazda,sanaplant_product_catalog,inactive,2025-03-27,Prebieha,"Using campaign budget",0,21.63,22.95,1.061026,2,10.815,11.475,2.816406,7680,5856,1.311475,93,0.232581,1.210938,1.058743,4,5.4075,103.95,3.076923,1.923077,65,0.332769,105,0.206,,,
2025-05-01,2025-05-31,zahradkari,sanaplant_product_catalog,inactive,2025-03-27,Prebieha,"Using campaign budget",0,20.99,33.29,1.585993,2,10.495,16.645,1.734567,12101,9917,1.220228,177,0.118588,1.462689,1.361299,7,2.998571,139.24,1.709402,0.956938,117,0.179402,215,0.097628,,,
2025-05-01,2025-05-31,"Pestujte ako profesionál",sanaplant_brand,inactive,2025-04-07,Prebieha,1,Denne,6.56,,,,,,0.524004,12519,12519,1,4,1.64,0.031951,0.031951,,,,0,0,,,6,1.093333,,,
2025-05-01,2025-05-31,Gunner,sanaplant_products_traffic,inactive,2025-04-10,Prebieha,4,Denne,12.66,,,,,,1.603343,7896,5084,1.553108,210,0.060286,2.659574,3.855232,,,,0,0,107,0.118318,219,0.057808,1,1,1
2025-05-01,2025-05-31,"HydroHumat - apríl a máj v záhrade?",sanaplant_products_traffic,inactive,2025-04-10,Prebieha,5,Denne,37.08,,,,,,1.665693,22261,9802,2.271067,880,0.042136,3.953102,5.223424,4,9.27,20.68,0,0,394,0.094112,932,0.039785,,4,3
2025-05-01,2025-05-31,SilvaTabs,sanaplant_products_conv,inactive,2025-04-14,Prebieha,4,Denne,3.66,,,,,,8.755981,418,230,1.817391,14,0.261429,3.349282,3.913043,,,,0,0,12,0.305,124,0.029516,,,1
2025-05-01,2025-05-31,"HydroHumat - apríl a máj v záhrade?",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4.75,Denne,29.25,,,,,,3.644406,8026,3691,2.174478,150,0.195,1.868926,2.790572,9,3.25,891.55,0,0,96,0.304688,166,0.176205,,1,1
2025-05-01,2025-05-31,SilvaTabs,sanaplant_products_conv,inactive,2025-04-22,Prebieha,5,Denne,88.25,239.88,2.718187,10,8.825,23.988,8.698009,10146,5234,1.938479,169,0.522189,1.665681,2.063431,69,1.278986,406.85,7.936508,5.376344,126,0.700397,2582,0.034179,1,,7
2025-05-01,2025-05-31,"10 produktov Sanaplant",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,170.73,163.08,0.955192,6,28.455,27.18,4.895063,34878,11865,2.93957,702,0.243205,2.01273,3.742099,45,3.794,4205.01,1.244813,0.854701,482,0.354212,798,0.213947,1,12,4
2025-05-01,2025-05-31,Gunner,sanaplant_products_conv,inactive,2025-04-22,Prebieha,4.75,Denne,28.81,,,,,,4.74864,6067,2817,2.15371,83,0.347108,1.368057,2.449414,5,5.762,1325.85,0,0,51,0.564902,92,0.313152,,1,
2025-05-01,2025-05-31,"Pestujte ako profesionál",sanaplant_brand,inactive,2025-04-22,Prebieha,3.5,Denne,16.82,,,,,,0.383371,43874,17534,2.502224,14,1.201429,0.03191,0.079845,,,,0,0,,,20,0.841,,,
2025-05-01,2025-05-31,"Všetko, čo potrebuje šikovný pestovateľ",sikovny_gazda_sales,inactive,2025-04-22,Prebieha,4.75,Denne,28.45,,,,,,5.451236,5219,2564,2.035491,85,0.334706,1.628665,2.145086,,,,0,0,60,0.474167,97,0.293299,1,,
2025-05-01,2025-05-31,"Profesionálne riešenia pre malých pestovateľov",sikovny_gazda_sales,inactive,2025-04-22,Prebieha,4.75,Denne,0.8,,,,,,3.34728,239,169,1.414201,,,,,,,,0,0,,,3,0.266667,,,
2025-05-01,2025-05-31,"Manychat - kalendar zadarmo",sanaplant_boosting,inactive,2025-04-25,2025-07-15,5,Denne,26.32,,,,,,1.338895,19658,12528,1.569125,1,26.32,0.005087,0.007982,,,,0,0,,,311,0.08463,122,,17
2025-05-01,2025-05-31,"Prípravky na ochranu rastlín (Šikovný gazda)",sanaplant_boosting_traffic,inactive,2025-05-01,2025-05-31,5,Denne,207.88,500.16,2.406003,17,12.228235,29.421176,1.207474,172161,60739,2.834439,5440,0.038213,3.159833,5.706383,51,4.076078,1309.35,0.71249,0.3125,2386,0.087125,5725,0.036311,3,87,61
