"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-03-01,2025-03-31,"Ochrana stromov pred mrazmi REM",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,75.21,339.73,4.517085,13,5.785385,26.133077,5.338207,14089,1558,9.043004,218,0.345,1.547306,10.333761,54,1.392778,1001.74,8.227848,5.963303,158,0.476013,240,0.313375,2,1,1
2025-03-01,2025-03-31,"Frigomax chat",sanaplant_conversion_frigomax,not_delivering,2025-02-20,Prebieha,10,Denne,58.35,289.04,4.953556,10,5.835,28.904,3.215939,18144,8546,2.123099,230,0.253696,1.267637,2.410484,27,2.161111,488.66,7.936508,4.347826,126,0.463095,266,0.219361,10,2,7
2025-03-01,2025-03-31,"Sú vaše stromy pripravené na jarné mrazy? REM",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,8.46,21.2,2.50591,1,8.46,21.2,6.95152,1217,337,3.611276,26,0.325385,2.136401,7.418398,13,0.650769,321.68,4.545455,3.846154,22,0.384545,30,0.282,,,1
2025-03-01,2025-03-31,"Nedovoľte, aby jarné mrazy zničili vaše stromy REM",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,2.28,,,,,,2.277722,1001,772,1.296632,13,0.175385,1.298701,1.554404,,,,0,0,7,0.325714,15,0.152,,,
2025-03-01,2025-03-31,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,6.92,42.41,6.128613,1,6.92,42.41,2.362581,2929,2441,1.199918,70,0.098857,2.389894,2.580909,3,2.306667,73.76,2.272727,1.428571,44,0.157273,76,0.091053,,1,2
2025-03-01,2025-03-31,"Frigomax chat",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,15.98,177.89,11.13204,6,2.663333,29.648333,3.204331,4987,3089,1.614438,93,0.171828,1.864849,2.686954,25,0.6392,769.51,12,6.451613,50,0.3196,102,0.156667,1,2,2
2025-03-01,2025-03-31,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,not_delivering,2025-02-20,Prebieha,10,Denne,317.42,1584.6,4.992124,48,6.612917,33.0125,2.503312,126800,40848,3.104191,2122,0.149585,1.673502,4.467783,206,1.540874,3456.37,3.761755,2.260951,1276,0.248762,2304,0.137769,1,29,34
2025-03-01,2025-03-31,"Jarné mrazy môžu zničiť úrodu",sanaplant_conversion_frigomax,not_delivering,2025-02-20,Prebieha,10,Denne,0.22,,,,,,3.548387,62,48,1.291667,1,0.22,1.612903,2.083333,1,0.22,18.44,0,0,1,0.22,1,0.22,,,
2025-03-01,2025-03-31,"Nedovoľte, aby jarné mrazy zničili vaše stromy REM",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,121.33,793.87,6.543064,21,5.777619,37.803333,2.839989,42722,13770,3.102542,491,0.247108,1.149291,3.129993,65,1.866615,1472.2,7.266436,4.276986,289,0.419827,573,0.211745,4,6,18
2025-03-01,2025-03-31,"Sú vaše stromy pripravené na jarné mrazy? REM",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,60.75,272.78,4.490206,11,5.522727,24.798182,2.88626,21048,8338,2.524346,247,0.245951,1.173508,2.386663,45,1.35,1064.17,7.189542,4.453441,153,0.397059,280,0.216964,1,1,3
