"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína",sanaplant_traffic_minigarden,inactive,2025-02-10,Prebieha,5,Denne,4.76,,,,,,1.396714,3408,2807,1.214108,41,0.116098,1.203052,1.460634,,,,0,0,13,0.366154,48,0.099167,,,
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína - cena",sanaplant_traffic_minigarden,inactive,2025-02-10,Prebieha,5,Denne,23.26,,,,,,1.894908,12275,9318,1.317343,219,0.10621,1.784114,2.232239,,,,0,0,62,0.375161,226,0.10292,,,
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína - cena",sanaplant_traffic_minigarden,inactive,2025-02-10,Prebieha,7,Denne,20.12,,,,,,2.112558,9524,7755,1.228111,177,0.113672,1.858463,2.205029,2,10.06,123,0,0,52,0.386923,183,0.109945,,1,
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína",sanaplant_traffic_minigarden,inactive,2025-02-10,Prebieha,7,Denne,12.19,,,,,,1.591384,7660,5309,1.442833,98,0.124388,1.279373,1.770578,,,,0,0,36,0.338611,109,0.111835,,,1
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína",sanaplant_traffic_minigarden,inactive,2025-02-10,Prebieha,5,Denne,0.22,,,,,,1.122449,196,186,1.053763,2,0.11,1.020408,1.075269,,,,0,0,,,4,0.055,,,1
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína - cena",sanaplant_traffic_minigarden,inactive,2025-02-10,Prebieha,5,Denne,11.39,,,,,,1.923986,5920,5036,1.175536,96,0.118646,1.621622,1.886418,,,,0,0,28,0.406786,97,0.117423,,,
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína",sanaplant_boosting,inactive,2025-02-11,2025-02-18,20,Celkový,20,,,,,,2.206775,9063,5406,1.676471,51,0.392157,0.562728,0.924898,,,,0,0,17,1.176471,213,0.093897,1,,9
2025-02-01,2025-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,8,Denne,123.81,494.77,3.996204,16,7.738125,30.923125,1.101561,112395,59391,1.892458,2344,0.05282,2.085502,3.482009,63,1.965238,1432.49,1.520913,0.682594,1052,0.11769,2528,0.048975,5,40,47
2025-02-01,2025-02-28,"Frigomax chat",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,8,Denne,21.8,78.03,3.579358,3,7.266667,26.01,1.320412,16510,12293,1.343041,397,0.054912,2.404603,3.001708,19,1.147368,207.23,2.631579,0.755668,114,0.191228,437,0.049886,1,13,9
2025-02-01,2025-02-28,"Spoľahlivá ochrana ovocných stromov",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,8,Denne,1.86,,,,,,1.12659,1651,1327,1.24416,35,0.053143,2.119927,2.336096,,,,0,0,11,0.169091,40,0.0465,,1,1
2025-02-01,2025-02-28,"Spoľahlivá ochrana ovocných stromov",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,1,Denne,1.06,,,,,,0.881864,1202,1054,1.140417,21,0.050476,1.747088,1.897533,,,,0,0,9,0.117778,23,0.046087,,1,
2025-02-01,2025-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,1,Denne,109.93,381.72,3.472392,10,10.993,38.172,1.11509,98584,56599,1.741798,2308,0.04763,2.341151,3.697945,44,2.498409,983.14,0.931099,0.433276,1074,0.102356,2493,0.044095,4,45,41
2025-02-01,2025-02-28,"Frigomax chat",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,1,Denne,11.09,23.97,2.161407,1,11.09,23.97,1.460171,7595,6927,1.096434,249,0.044538,3.278473,3.421395,2,5.545,36.88,1.408451,0.401606,71,0.156197,262,0.042328,1,4,
2025-02-01,2025-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,3,Denne,27.09,44.45,1.640827,1,27.09,44.45,1.651326,16405,4934,3.324889,542,0.049982,3.303871,9.221727,31,0.873871,750.38,0.429185,0.184502,233,0.116266,620,0.043694,6,9,17
2025-02-01,2025-02-28,"Spoľahlivá ochrana ovocných stromov",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,3,Denne,1.92,23.97,12.484375,1,1.92,23.97,1.580247,1215,963,1.261682,32,0.06,2.633745,2.90758,4,0.48,92.2,10,3.125,10,0.192,42,0.045714,,2,
2025-02-01,2025-02-28,"Frigomax chat",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,3,Denne,0.87,,,,,,1.779141,489,429,1.13986,13,0.066923,2.658487,2.797203,,,,0,0,4,0.2175,16,0.054375,,,
2025-02-01,2025-02-28,"Ochrana stromov pred mrazmi REM",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,3,Denne,0.21,,,,,,1.346154,156,139,1.122302,5,0.042,3.205128,2.877698,,,,0,0,2,0.105,7,0.03,,,1
2025-02-01,2025-02-28,"Nedovoľte, aby jarné mrazy zničili vaše stromy REM",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,3,Denne,12.75,75.99,5.96,3,4.25,25.33,1.584441,8047,3588,2.242754,199,0.06407,2.472971,4.682274,11,1.159091,276.6,3.225806,1.507538,93,0.137097,237,0.053797,,4,10
2025-02-01,2025-02-28,"Sú vaše stromy pripravené na jarné mrazy? REM",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,3,Denne,1.48,,,,,,1.589689,931,627,1.484848,35,0.042286,3.759399,4.14673,4,0.37,73.76,0,0,19,0.077895,44,0.033636,,1,3
2025-02-01,2025-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,5,Denne,20.97,94.43,4.5031,3,6.99,31.476667,1.221601,17166,11765,1.459074,344,0.060959,2.003961,2.668933,10,2.097,202.84,1.935484,0.872093,155,0.13529,368,0.056984,,3,7
2025-02-01,2025-02-28,"Nedovoľte, aby jarné mrazy zničili vaše stromy REM",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,5,Denne,0.17,,,,,,0.977011,174,154,1.12987,1,0.17,0.574713,0.649351,,,,0,0,1,0.17,1,0.17,,,
2025-02-01,2025-02-28,"Sú vaše stromy pripravené na jarné mrazy? REM",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,5,Denne,0.02,,,,,,0.8,25,22,1.136364,,,,,,,,0,0,,,,,,,
2025-02-01,2025-02-28,"Spoľahlivá ochrana ovocných stromov",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,5,Denne,0.09,,,,,,0.661765,136,132,1.030303,3,0.03,2.205882,2.272727,,,,0,0,,,3,0.03,,,
2025-02-01,2025-02-28,"Frigomax chat",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,5,Denne,0.03,,,,,,1.5,20,19,1.052632,,,,,,,,0,0,,,,,,,
2025-02-01,2025-02-28,"Ochrana stromov pred mrazmi REM",sanaplant_traffic_frigomax,inactive,2025-02-11,2025-04-06,5,Denne,17.25,,,,,,3.707286,4653,4244,1.096371,32,0.539063,0.687728,0.730443,,,,0,0,7,2.464286,37,0.466216,,2,
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína",sanaplant_traffic_minigarden,inactive,2025-02-13,Prebieha,3,Denne,3.08,,,,,,1.935889,1591,959,1.65902,19,0.162105,1.194217,1.876955,,,,0,0,8,0.385,19,0.162105,,,
2025-02-01,2025-02-28,"Sezóna predpestovania sa začína - cena",sanaplant_traffic_minigarden,inactive,2025-02-13,Prebieha,3,Denne,5.55,,,,,,2.041943,2718,1645,1.65228,38,0.146053,1.398087,2.18845,,,,0,0,11,0.504545,39,0.142308,,,
2025-02-01,2025-02-28,"Ochrana ovocných stromov pred jarnými mrazmi",sanaplant_boosting,inactive,2025-02-13,2025-02-20,20,Celkový,19.9,120.44,6.052261,4,4.975,30.11,1.429392,13922,7819,1.780535,190,0.104737,1.364746,2.110244,12,1.658333,221.28,3.571429,2.105263,112,0.177679,367,0.054223,1,7,32
