"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-06-01,2025-06-30,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,646.82,1441.24,2.228193,24,26.950833,60.051667,3.139629,206018,48390,4.25745,1775,0.364406,0.861575,2.140938,113,5.724071,402036.71,2.205882,1.130476,1088,0.594504,2330,0.277605,2,6,6
2025-06-01,2025-06-30,SilvaTabs,sanaplant_products_conv,inactive,2025-04-22,Prebieha,5,Denne,21.61,,,,,,6.814885,3171,1917,1.654147,43,0.502558,1.356039,1.199791,,,,0,0,17,1.271176,673,0.03211,,1,1
2025-06-01,2025-06-30,"10 produktov Sanaplant",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,15.02,172.36,11.475366,2,7.51,86.18,4.754669,3159,2361,1.337992,35,0.429143,1.107946,1.185938,4,3.755,344.72,7.407407,5.714286,27,0.556296,40,0.3755,,1,2
2025-06-01,2025-06-30,"Manychat - kalendar zadarmo",sanaplant_boosting,inactive,2025-04-25,2025-07-15,5,Denne,60.99,,,,,,1.526544,39953,19288,2.071392,5,12.198,0.012515,0.025923,,,,0,0,4,15.2475,545,0.111908,191,2,13
2025-06-01,2025-06-30,"HydroHumat - doprajte rastlinám správnu výživu",sanaplant_products_traffic,inactive,2025-04-10,Prebieha,5,Denne,1.79,,,,,,1.495405,1197,959,1.248175,21,0.085238,1.754386,1.876955,,,,0,0,5,0.358,21,0.085238,,,
2025-06-01,2025-06-30,"HydroHumat - prírodná sila pre zdravú pôdu",sanaplant_products_traffic,inactive,2025-04-10,Prebieha,5,Denne,19.41,,,,,,1.598583,12142,7052,1.721781,286,0.067867,2.35546,2.708452,1,19.41,,0,0,129,0.150465,313,0.062013,,2,1
2025-06-01,2025-06-30,"Zdravé rastliny = bohatá úroda",sanaplant_products_conv,inactive,2025-05-12,Prebieha,5,Denne,117.87,,,,,,5.113666,23050,6539,3.525004,214,0.550794,0.928416,2.3551,5,23.574,17.14,0,0,127,0.92811,230,0.512478,,2,2
2025-06-01,2025-06-30,silva_tabs,sanaplant_product_catalog,inactive,2025-05-20,Prebieha,"Using campaign budget",0,11.45,,,,,,4.071835,2812,1907,1.474567,13,0.880769,0.462304,0.681699,,,,0,0,9,1.272222,21,0.545238,,,
2025-06-01,2025-06-30,"FB Rajčiny už máte vysadené?",sanaplant_boosting,inactive,2025-06-04,2025-06-18,30,Celkový,30,,,,,,2.224364,13487,5923,2.277056,330,0.090909,2.446801,4.068884,2,15,10.34,0,0,57,0.526316,353,0.084986,,2,
2025-06-01,2025-06-30,"IG Rajčiny už máte vysadené?",sanaplant_boosting,inactive,2025-06-04,2025-06-18,20,Celkový,1.88,,,,,,14.920635,126,123,1.02439,1,1.88,0.793651,0.813008,,,,0,0,,,17,0.110588,,,
2025-06-01,2025-06-30,"Prípravky na ochranu rastlín (Šikovný gazda)",sanaplant_boosting_traffic,inactive,2025-06-03,Prebieha,5,Denne,104.19,65.63,0.629907,2,52.095,32.815,1.485818,70123,33446,2.096603,1577,0.066068,2.248905,3.689529,12,8.6825,1105.67,0.340716,0.126823,587,0.177496,2551,0.040843,,18,14
2025-06-01,2025-06-30,"10 produktov Sanaplant - novy",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,182.3,159.47,0.874767,7,26.042857,22.781429,5.484026,33242,8760,3.794749,265,0.687925,0.797184,2.157534,30,6.076667,7167901322.19,5.511811,2.641509,127,1.435433,1269,0.143656,1,1,1
2025-06-01,2025-06-30,"10 produktov Sanaplant - novy 2",sanaplant_products_conv,inactive,2025-04-22,Prebieha,4,Denne,64.35,,,,,,5.568536,11556,4906,2.355483,122,0.527459,1.055729,1.916021,5,12.87,360.02,0,0,67,0.960448,137,0.469708,,2,
2025-06-01,2025-06-30,"Laudis – spoľahlivý pomocník v boji s burinou",sanaplant_boosting,inactive,2025-06-09,2025-06-23,30,Celkový,30,289.51,9.650333,2,15,144.755,1.839475,16309,6340,2.572397,220,0.136364,1.348948,2.917981,8,3.75,897.6,2.12766,0.909091,94,0.319149,285,0.105263,,3,6
2025-06-01,2025-06-30,"10 produktov Sanaplant - novy",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,62.54,,,,,,4.802642,13022,1835,7.096458,89,0.702697,0.683459,3.760218,13,4.810769,1144.29,0,0,45,1.389778,1034,0.060484,,1,
2025-06-01,2025-06-30,"Pestujte ako profesionál",sanaplant_products_conv,inactive,2025-06-10,Prebieha,3,Denne,14.22,666.54,46.873418,4,3.555,166.635,3.666839,3878,985,3.937056,14,1.015714,0.361011,1.218274,6,2.37,37.9,57.142857,28.571429,7,2.031429,15,0.948,,,
2025-06-01,2025-06-30,"Odborná poradňa Sanaplant",sanaplant_boosting,inactive,2025-06-13,2025-06-27,30,Celkový,30,,,,,,3.039822,9869,6448,1.530552,18,1.666667,0.182389,0.279156,,,,0,0,3,10,207,0.144928,,,1
2025-06-01,2025-06-30,"Chrastavitosť čerešní a višní",sanaplant_boosting,inactive,2025-06-18,2025-06-30,30,Celkový,29.97,,,,,,2.228253,13450,8478,1.586459,5,5.994,0.037175,0.058976,,,,0,0,,,182,0.16467,2,3,11
2025-06-01,2025-06-30,​sanaplant_vybrane_produkty,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,3.18,,,,,,4.549356,699,244,2.864754,12,0.265,1.716738,3.688525,,,,0,0,10,0.318,16,0.19875,,,
2025-06-01,2025-06-30,​sanaplant_vybrane_produkty_cards,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,9.65,,,,,,4.484201,2152,1450,1.484138,32,0.301563,1.486989,1.034483,,,,0,0,16,0.603125,36,0.268056,,,
2025-06-01,2025-06-30,​sanaplant_vybrane_produkty,sanaplant_product_catalog_2,inactive,2025-06-24,Prebieha,"Using campaign budget",0,122.31,135.55,1.10825,4,30.5775,33.8875,2.361607,51791,16238,3.189494,631,0.193835,1.218358,2.266289,20,6.1155,973.81,0.907029,0.549451,441,0.277347,782,0.156407,2,2,1
2025-06-01,2025-06-30,"Silva Tabs sú hnojivá novej generácie",sanaplant_boosting,inactive,2025-06-24,2025-06-30,20,Celkový,19.99,,,,,,1.574884,12693,5727,2.216344,51,0.391961,0.401796,0.785752,,,,0,0,23,0.86913,106,0.188585,,1,4
