"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-12-01,2025-12-31,encyklopedia_video,"sanaplant_book_conv _2025",inactive,2025-10-19,Prebieha,"Using campaign budget",0,97.92,172.3,1.7596,3,32.64,57.433333,3.717399,26341,19046,1.38302,182,0.538022,0.690938,0.845322,13,7.532308,753.23,3.488372,1.428571,86,1.138605,5220,0.018759,1,1,2
2025-12-01,2025-12-31,"BLACK FRIDAY - cena",BF25_sales,inactive,2025-11-15,Prebieha,10,Denne,9.85,,,,,,3.86426,2549,1209,2.108354,15,0.656667,0.588466,1.240695,1,9.85,124.23,0,0,4,2.4625,174,0.056609,,,
2025-12-01,2025-12-31,"BF2025 - doprava zadarmo",BF25_sales,not_delivering,2025-11-25,Prebieha,20,Denne,17.3,,,,,,3.476688,4976,3444,1.444832,22,0.786364,0.442122,0.609756,1,17.3,55.7,0,0,9,1.922222,28,0.617857,,,
2025-12-01,2025-12-31,"BF2025 - 1000+ zakaznikov",BF25_sales,not_delivering,2025-11-25,Prebieha,20,Denne,9.65,,,,,,5,1930,1330,1.451128,11,0.877273,0.569948,0.676692,1,9.65,55.7,0,0,3,3.216667,12,0.804167,,,
2025-12-01,2025-12-31,encyklopedia_video,"sanaplant_book_conv _2025",inactive,2025-11-25,Prebieha,"Using campaign budget",0,54.44,241.61,4.438097,3,18.146667,80.536667,4.040074,13475,9628,1.399564,80,0.6805,0.593692,0.799751,4,13.61,299.5,7.317073,3.75,41,1.327805,2275,0.02393,,1,1
2025-12-01,2025-12-31,"BLACK FRIDAY - cena",BF25_sales,not_delivering,2025-11-25,Prebieha,15,Denne,19.01,,,,,,7.567675,2512,1497,1.678023,18,1.056111,0.716561,1.002004,1,19.01,55.7,0,0,10,1.901,350,0.054314,,,
2025-12-01,2025-12-31,encyklopedia_promo,"sanaplant_book_conv _2025",inactive,2025-10-19,Prebieha,"Using campaign budget",0,38.11,59.9,1.571766,1,38.11,59.9,4.813084,7918,6276,1.261632,49,0.777755,0.618843,0.732951,2,19.055,119.8,4.545455,2.040816,22,1.732273,1383,0.027556,,,1
2025-12-01,2025-12-31,encyklopedia_video,"sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,195.55,614,3.139862,9,21.727778,68.222222,4.067095,48081,32805,1.465661,314,0.622771,0.653065,0.85048,27,7.242593,1833.52,5.882353,2.5,153,1.278105,9275,0.021084,1,6,12
2025-12-01,2025-12-31,encyklopedia_promo,"sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,289.23,1402.25,4.848218,21,13.772857,66.77381,5.274743,54833,27297,2.008756,488,0.592684,0.889975,1.491006,50,5.7846,2909.51,8.606557,4.285714,244,1.185369,9448,0.030613,1,8,3
2025-12-01,2025-12-31,encyklopedia_promo,"sanaplant_book_conv _2025",inactive,2025-11-25,Prebieha,"Using campaign budget",0,8.88,,,,,,5.051195,1758,1448,1.214088,16,0.555,0.910125,1.035912,2,4.44,119.8,0,0,9,0.986667,276,0.032174,,,
2025-12-01,2025-12-31,darcek_pre_zahradkara,"sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,42.51,179.7,4.227241,3,14.17,59.9,5.472451,7768,3463,2.243142,40,1.06275,0.514933,0.924054,6,7.085,359.4,12.5,7.317073,24,1.77125,50,0.8502,,,
2025-12-01,2025-12-31,darcek_pre_zahradkara,"sanaplant_book_conv _2025",inactive,2025-11-25,Prebieha,"Using campaign budget",0,1.33,,,,,,4.784173,278,233,1.193133,,,,,,,,0,0,,,1,1.33,,,
2025-12-01,2025-12-31,darcek_pre_zahradkara,"sanaplant_book_conv _2025",inactive,2025-10-19,Prebieha,"Using campaign budget",0,7.34,59.9,8.160763,1,7.34,59.9,5.161744,1422,1076,1.321561,9,0.815556,0.632911,0.836431,1,7.34,55.7,33.333333,11.111111,3,2.446667,11,0.667273,,,
2025-12-01,2025-12-31,encyklopedia_video,"sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,243.06,545.1,2.242656,9,27.006667,60.566667,3.906461,62220,28642,2.172334,1141,0.213024,1.833815,2.66392,29,8.381379,1747.1,3.010033,0.788782,299,0.81291,14438,0.016835,3,5,10
2025-12-01,2025-12-31,encyklopedia_promo,"sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,84.93,181.7,2.139409,3,28.31,60.566667,4.24014,20030,9403,2.130171,592,0.143463,2.955567,4.456025,7,12.132857,419.3,2.439024,0.505051,123,0.690488,5219,0.016273,3,,7
2025-12-01,2025-12-31,darcek_pre_zahradkara,"sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,73.91,495.21,6.700176,7,10.558571,70.744286,3.557641,20775,7739,2.684455,174,0.42477,0.837545,1.809019,13,5.685385,868.6,18.421053,4.022989,38,1.945,208,0.355337,4,4,2
2025-12-01,2025-12-31,"Repka, slnečnica, mak, sója",sanaplant_boosting_traffic,inactive,2025-12-05,2025-12-17,15,Celkový,14.98,493.3,32.930574,7,2.14,70.471429,1.412275,10607,4763,2.226958,170,0.088118,1.602715,2.939324,11,1.361818,758.9,5.30303,4.117647,132,0.113485,194,0.077216,,2,
2025-12-01,2025-12-31,"Fuzarióza cesnaku",sanaplant_boosting,not_delivering,2025-12-15,2025-12-23,15,Celkový,14.97,,,,,,1.704235,8784,5555,1.581278,159,0.094151,1.810109,2.556256,3,4.99,179.7,0,0,52,0.287885,270,0.055444,1,1,8
2025-12-01,2025-12-31,"Fuzarióza cesnaku","sanaplant_book_conv _2025",inactive,2025-12-02,Prebieha,"Using campaign budget",0,11.36,59.9,5.272887,1,11.36,59.9,4.408227,2577,1982,1.300202,28,0.405714,1.086535,1.311806,2,5.68,119.8,8.333333,3.571429,12,0.946667,32,0.355,,2,
2025-12-01,2025-12-31,"Zlaté žltnutie viniča",sanaplant_boosting_traffic,inactive,2025-12-17,2025-12-24,15,Celkový,14.96,,,,,,1.104711,13542,8745,1.548542,312,0.047949,2.303943,2.938822,,,,0,0,222,0.067387,2222,0.006733,1,11,6
2025-12-01,2025-12-31,"Ďakujeme, že ste boli s nami po celý rok 2025",sanaplant_boosting,not_delivering,2025-12-22,2025-12-31,15,Celkový,14.98,,,,,,0.598458,25031,14772,1.69449,,,,,,,,0,0,,,2599,0.005764,34,,53
